Beryll|+Beryll
Le site|Le Site
Superclub videotron|Le Groupe Videotron Ltee
Le Tigre Clothing|Le Tigre
Le vision pictures|Le Vision Pictures
Le Zebre|Le zebre
Leach-Biltwell Motor Company|Leach automobile
Leader dogs for the blind|Leader Dogs for the Blind
Leaderboard Golf Ltd.|Leaderboard Golf Ltd
Leadership Dynamics|Leadership Dynamics Institute
Leading Edge Air Foils|Leading Edge Air Foils LLC
Leading Edge Group|Leading edge group
Leadtek Research, Inc.|Winfast
Leaf|Aptus-II 12
MagicalAntique|Leaf games
Leaf Holland|Leaf Confections
LeapFrog Enterprises, Inc.|Leapfrog Enterprises Inc
Leap Motion|Leap motion
Leap Wireless International|Leap Wireless International, Inc
Lear Corporation|United Technologies Auto
Lear jet|Lear jets
LearnShare LLC|LearnShare
LearnVest|LearnVest Inc.
University for Industry|learndirect Limited
Learning Express Toys|Learning Express
Leaseplan|LeasePlan UK
Leaseweb.net|Leaseweb
Squirt S4|Leatherman Wave
Lebara group|Lebara Group
JSC Lebedyansky|Lebedyansky JSC
Lebrecht Photo Library|Lebrecht Music & Arts Photo Library
Lechmere's|Lechmere, Inc.
Ledcor Group of Companies|Ledcor
Leder and Schuh|Leder und Schuh AG
Ledos|Ledo Pizza
Famous Recipe|Lee's Famous Recipe Chicken
Lee's Sandwiches International, Inc.|Lee's Sandwiches
Lee & Man Paper Manufacturing Limited|Lee & Man Paper
Lee|Lee Jeans
Lee Enterprises, Incorporated|Lee Enterprises, Inc.
Lee Kum Kee|Lee Kum Kee USA
Veritas Tools|Lee Valley Tools
Leeds & Holbeck Building Society|The Leeds Building Society
Leeds, Weld|Leeds Equity
Leeds Fans United|Leeds Fans Community Benefit Society
York junction|Leeds and Selby Railway
Leek United Building Society|Leek United
Brasserie Lefebvre|Lefebvre Brewery
Left-Right Productions|Left/Right Productions
Left Hand Brewing Company|Left Hand Brewing Co.
Lu Biscuit|Lefevre-Utile Biscuit Co.
Legacy Games|Legacy games
Legacy Health System|Legacy Health Systems
Pre-Paid Legal Services, Inc. & Subsidiaries|LegalShield
LegalZoom.com, Inc.|LegalZoom, Inc.
Legal & General Group plc|Legal and General
Legal sea food|Rich Vellante
Legatum|Legatum institute foundation
Legend FC|Legend Fighting Championship
Legend Films releases|List of Legend Films releases
Legend Holdings Corporation|Legend Holdings
Legendary East|Legendary Pictures
Iridon Interactive|Legendo Entertainment AB
Legg Mason Capital Management|Legg Mason, Inc.
Leggett & Platt|Leggett & Platt Incorporated
Legoland Discovery Centre|Legoland Discovery Center
Legrand S.A.|Wiremold
H. Leh and Company|H. Leh & Co.
Lehman Brothers Holdings Inc|Lehman Brothers, Inc
Lehni AG|Lehni
Lehren.tv|Lehren.tv - Bollywood News and Gossips
Ernst Leitz|Leica Camera
Leidos|SAIC, Inc.
Hoegh LNG|HUAL
Leighton Enterprises, Inc.|Leighton Radio Holdings, Inc.
Leisure Connection Ltd|Leisure Connection
Leland Corporation|Leland corporation
www.Lembrassa.com|Lembrassa
Lemminkaeinen Group|Lemminkainen Group
Lemontree hotels|Lemon Tree Hotels
Yeeloong Lemote|Yeeloong
Lemvigbanen|Vemb-Lemvig-Thyboron Jernbane
Christian Faes|LendInvest
Delfin Lend Lease|Lend Lease's Communities Business
Lend Lease Corporation Limited|Lendlease Group
Baulderstone|A.W. Baulderstone Pty Ltd
Bovis Construction|Lend Lease's Project Management & Construction Business
Crosby Lend Lease|Crosby Homes
Lend Lease's Retirement Business|Lend Lease Retirement Living
Lending Club|Lending Club Corporation
LenFilm|Lenfilm Studio
Leningradsky Metallichesky Zavod|LMZ
Leningradslanec|OAO Leningradslanets
Leninska Kuznya|Lenin's Smithy
Lennar|Lennar A Corp
Lennox International Inc.|Lennox International
Lenovo Group Ltd.|Lenovo Group Ltd
IOmega|version 2
Lenox Group|Lenox Corporation
Lenoxx|Lenoxx Sound
LensCrafters|Lenscrafters
Lensbabies|Lensbaby LLC
Lenzing AG|Lenzing Group
Leo A. Daly|Leo A Daly
Leo Burnett Company, Inc.|Leo Burnett Company
LEO Pharma|Leo Pharma A/S
Leon's Furniture|Leon's
Leonard Green Partners|Leonard Green & Partners, L.P.
Leoni Cables|Leoni AG
Leonidas chocolates|Leonidas Chocolate
Leopard Capital LP|Leopard Cambodia Fund LP
Leroy Merlin|ICP Solar Technologies
Laeroy|Laeroy Seafood Group
Les Films Christal|Les Films Christal Inc.
Seville Pictures Inc.|Behavior Communications
Les Mousquetaires|Interex
Tires les schwab|Les Schwab Tires
Les Sept Couleurs|Les Sept couleurs
Les Films du Losange|Les films du losange
Lesaffre|Bio Springer
Leslie's Poolmart|Leslie's Pool Supplies
Leslie Hindman|Leslie Hindman Auctioneers
9th Company: Roots of Terror|Lesta studio
Let's Dish|Let's Dish!
Let's Go City Guide|Let's Go Travel Guides
Let-Mont s.r.o.|Let-Mont sro
Lettuce Entertain You Enterprises Inc.|Lettuce Entertain You
LeTV|Leshi Internet Information & Technology
Leucadia Corp|Leucadia National
Leung So Kee|Liang Su Ji
Leupold & Stevens, Inc.|Leupold
Levant Company of London|Smyrna Company
Level-5 abby|Level-5 Inc.
Level10 Comics|Level 10 Comics
LeVeL 27|Level 27 Clothing
Level 3 Communications, Inc.|Level3.com
Levi, Ray & Shoup|Levi, Ray & Shoup, Inc.
Levi Strauss & Company|Levi Strauss & Co.
Leviathan Building|UWM Corporation
Levitz Furniture|Levitz
Food Town Grocery Stores|Lewis Food Town, Inc
Aviakit|D. Lewis Ltd
L129A1|Lewis Machine and Tool Company
LexInnova Technologies|Lexinnova Technologies
LexJet Corporation|LexJet
Lex Autolease Ltd|Lex Vehicle Leasing
Lexam Explorations|Lexam VG Gold Inc.
Lexar|Lexar Media, Inc.
Lexcycle|Lexcycle Stanza
Lexi-comp|Lexicomp
PCM70|Lexicon Audio Company
Lexicon Branding, Inc.|Lexicon Branding
Lexicon genetics|Lexicon Pharmaceuticals
Alltech's Lexington Brewing and Distilling Company|Lexington Brewing and Distilling Company
LBS Communications Inc.|Lexington Broadcast Services
LSB Bancshares|Lexington State Bank
Nexislexis|Seisint
Lexmark International|Lexmark International, Inc.
Toyota Lexus|Lexus 2010
Lexus F division|Lexus F
Texto Editores|LEYA
Leyard|Leyard Optoelectronic Co., Ltd.
Leyland Steam Motor Company|Leyland Motors Ltd
Leyland Trucks|Leyland Trucks Limited
Li-ning|Li Ning Company Limited
Li-ion Motors|Li-ion Motors Corp.
LiAZ-5256|LiAZ
Black Cat Fireworks|Li & Fung
Lian-Li|Lian Li
Liaoning Chengda Company Limited|Chengda Company
Liaoning Television|Liaoning TV
Liblime|LibLime
Libby's|Libby's Libby's Libby's
Liberia Cement Corporation|Cemenco
LIBTELCO|Liberia Telecommunications Corporation
LBI Radio License LLC|Liberman Media
Liberty of London|Liberty & Company
Liberty Electric Cars Ltd|Liberty Electric Cars
Liberty Games|Liberty games
UGC Europe|Liberty Global Inc.
Liberty Group Limited|Liberty Holdings Ltd
Liberty Interactive|Gifts.com
Liberty Media|Liberty Media Corporation
Wausau Insurance Companies|Liberty Life Assurance Company of Boston
Liberty National Life Company|Liberty National Life
Liberty Orchards|Aplets & Cotlets
Liberty Safes|Liberty Safe
Liberty Shoes|Liberty Shoes Limited
Liberty Skis|Liberty Skis Corporation
Liberty Tax Service|Liberty Tax
Liberte Natural Foods|Liberte natural foods
The Libra Group|Libra Group
Libra Internet Bank|Libra Bank
Be x Boy|BexBoy
Libro Financial Group|Libro Credit Union
Libya Telecom|Libya Telecom & Technology
Libyan Arab Foreign Bank|Libyan Foreign Bank
Libyan Investment Authority|Libyan Investment Corporation
Libyan Iron and Steel Company|Libyan Iron & Steel Company
Libyan Stock Market|Libyan Stock Exchange
Licher Privatbrauerei|Licher
Lick's|Lick's Homeburgers
Licor 43|Liquor 43
Lidl Stiftung & Co KG|Lidl Stiftung & Co. KG
Hat World, Inc.|Hatworld
Liebherr Group|Liebherr GmbH
Liemobil|Liechtenstein Bus
Lien Viet Post Bank|Lien Viet Post Joint Stock Commercial Bank
Lietuvos Dujos|Lietuvos dujos
Lietuvos Energija, UAB|Lietuvos Energija
Lifan Group|Chongqing Lifan Motor
Lifegem|LifeGem
LifeLock|457-55-5462
LifePoint Hospitals, Inc.|LifePoint Health
Berean Christian Stores|Lifeway Christian Resources
LifeAlert|Life Alert Emergency Response, Inc
Life:) Belarus|\
Life Insurance Corp. of India|LICI
Lifestyle Sports|Life Style Sports
Lukasz tracz|Life in Color Music Festival
Life is Good|The Life Is Good Company
Lifeboat distribution|Lifeboat Distribution
Lifecell|lifecell
Lifesize|Lifesize communications
Lifestyle Lift|LIFESTYLE LIFT
Lifestyle Pets|Allerca
Lifetime Entertainment Services, LLC|Lifetime Entertainment Services
Backyards Inc.|Emotion Kayaks
Lifeftouch|Lifetouch Inc.
Liftport|LiftPort Group
Yan lifts|Lift Engineering
L-R-G Clothing|Lifted research group
Lift Labs, Inc.|Liftware spoon
Lightbox Interactive|LightBox Interactive
LightSquared|Lightsquared
LightSurf|LightSurf Technologies, Inc.
Light Servicos de Eletricidade|Light Servicos Eletricidade
Lightbox|Lightbox New Zealand
Lighting One|Lighting one
Electric Lightning GTS|Lightning Car Company
LightningSource|Lightning Source Inc.
Tori stone|Tawnee
Weiss, Peck & Greer|Weiss, Peck & Greer Venture Partners
PetroBakken Energy Ltd.|TriStar Oil & Gas Ltd.
Ligier|Ligier JS2
Ligne Roset|Ligneroset
Lik Sang|Lik-Sang
Lili diamonds|Lili Diamonds
Liljeholmens Stearinfabriks|Liljeholmens Stearinfabrik
Lillehammer Olympiapark AS|Lillehammer Olympiapark
Lilly Broadcasting LLC|Lilly Broadcasting
Evans, Lilpop and Rau|Lilpop, Rau i Loewenstein
Lima Airport Partners S.R.L.|Lima Airport Partners
Limak Holding|Limak Energy
Limbach Flugmotoren GmbH & Co. KG|Limbach Flugmotoren
Mersey Television|North West Television
Limelight Networks|LLNW
Limketkai Sons Incorporated|Limketkai Sons
Limmer & Trinidad|Limmer Holdings
Linamar Corp.|Linamar Corporation
Linc Energy, Ltd.|Linc Energy Ltd.
Lincare Holdings|Lincare Holdings Inc.
Lincoln Electric|Lincoln Electric Co.
Lincoln Financial Media|Jefferson-Pilot Communications
Lincoln Industrial Corporation|Lincoln Steel and Forge Company
Lincoln International|Peters Associates
Lincoln car|The Lincoln Motor Company
LFG.com|Jefferson-Pilot
Lincoln Snacks Company|Lincoln Snacks
Ross Cascio|Protective Parking Corporation
Lincolnshire Co-operative Limited|Lincolnshire Co-operative
Lincolnshire Capital Management|Lincolnshire Capital
Lincs FM group|Lincs FM Group
Linde werdelin|Linde Werdelin
Linden Centre|The Linden Centre
Lindsay, Goldberg & Bessemer|Lindsay Goldberg Bessemer
Lindsay Corporation|Lindsay Manufacturing
Batons kirsch|Lindt Lindor
Line2, Inc.|Toktumi
PODxt|Line 6
Line Corporation, Ltd.|Line Corporation
LINE skis|Line Skis
Linear Technology Corp|Linear Technology
Linens N Things|Linens and Things
LTV Steel|Ling-Temco-Vought
Lingbao Gold Company Limited|Lingbao Gold Company
Link-Belt Construction Equipment Company|Link-Belt Construction Equipment
Links of london|Links of London
PAP2T|Linksys
Linn Energy|Linn Energy, LLC
Linn Products Limited|Linn products
LinCap|Linsalata Capital Partners
PT Aplikanusa Lintasarta|Lintasarta
Lion|Lion Nathan National Foods
Lionbridge Technologies|Lionbridge
Lionel Corp.|Lionel Trains
Lionel Kiddie City|Kiddie City
Liongate|Liongate capital management
Big Blue Box studios|Big Blue Box Studios
Lion's Gate Films|Lions' Gate Films
Lionsgate Films|Lions Gate Films
Sterling Home Entertainment|Lionsgate Home Entertainment
Lions Gate Television|Lionsgate Television
Liore-et-Olivier|LeO
Lipman Hearne|Lipman hearne
Lippincott|Lippincott Mercer
Lippo Bank|Lippo Banking Group
Lippo Group|Lippogate
Lippo Village|Lippo Karawaci
Virgin Comics|Liquid Comics
Liquid Computing|Liquid Computing Corporation
Liquid Nutrition|Liquid Nutrition Group Inc.
Liquid Robotics, Inc.|PacX Wave Glider
Liquid web|Liquid Web
Liquor Control Board of Ontario|LCBO
LiquorLAND|Liquorland
List of Nintendo developers|Nintendo developers
List of Paramount Executives|List of Paramount executives
List of management of The Walt Disney Company|The Walt Disney Company
Valleycrest Productions Ltd.|List of production companies owned by the American Broadcasting Company
Lister Cars|Lister Motor Company Ltd
Lister-Petter|Lister Petter
Lit Kubo|Lit Motors Inc.
Lite On|Liteon
Lite trac|Holme farm supplies
LiteSpeed Web Server|OpenLiteSpeed
LiteWing|LiteWing Aircraft
Small Arms Factory Lithgow|Lithgow Arms
Lithgow's Ltd|Russell and Company
Lithia Motors|Lithia Motors Inc.
Enterprise Forums|Lithium Technologies
Lithosupplies|Litho Supplies plc
Bushido FC|Lithuania Bushido Federation
Lithuanian Film Studio|Lithuanian Film Studios
Lithuanian National Radio|Lithuanian National Radio and Television
Lithuanian State Railway|Lithuanian State Railways
Lititz Watch Technicum|Lititz watch technicum
Joao Luis Cachulo Cardoso|Joao Cardoso
Littelfuse Inc.|Littelfuse
Little Bits|LittleBits
Little Airplane|Little Airplane Productions
Little Anita's|Little Anitas
Little Britain Productions|List of programs produced and distributed by Little Britain Productions
Little Ceasars|Little Caesar Enterprises, Inc
Big Chef Takes on Little Chef|Coffee Tempo!
Little Creatures Brewery|Little Creatures Brewing Pty Ltd
Little Sheep International|Little Sheep International, Inc
Little Wing Autogyros, Inc.|Little Wing Aviation
Littlejohn and Co.|Littlejohn & Company
F. Maynard Sundman|Littleton Coin Co.
Littlewoods|Littlewoods Pools
Litton Syndications|Litton Entertainment
Inc. Litton Industries|Litton Industries Inc.
Guangxi LiuGong Machinery Co., Ltd.|LiuGong Construction Machinery, LLC.
Liu Li Gong Fang|Liu-lig Gong Fang
Live365.com|Live365
Live Nation|Live Nation Entertainment
El Puerto de Liverpool|Fabricas de Francia
Liverpool Victoria Friendly Society|Liverpool Victoria
Redevelopment of Liverpool|Liverpool Vision
SmartPen|Livescribe, Inc.
Livestock Improvement Corporation Ltd|Livestock Improvement
Living Direct|EdgeStar
India Today Group|Living Media India Limited
Living oceans society|Living Oceans Society
LizardTech, Inc.|LizardTech
Lloyds Register of Shipping|LRQA
Lloyds of london|Lloyds Name
Lloyd Cars Ltd|Lloyd cars
Lloyds TSB Group Plc|Lloyds TSB Scotland plc
Lloyds Bank International Limited|Lloyds Bank International
Lloyds Bank of Canada|Lloyd's Bank of Canada
Project Verde|LLOYDS BANKING GROUP, PLC
Lloydspharmacy|Lloyd's Pharmacy
Lojack for laptops|LoJack Corp.
Load Inc.|Load Inc
Load-Haul|Loadhaul Limited
The Loblaw Companies Limited|Loblaw Companies
Loblaw Greatfood|Loblaw Great Food
Blockshopper|LocalLabs
Localsaver|LocalSaver.com
Windstream Yellow Pages|Local Insight Yellow Pages, Inc.
Ottaway Newspapers, Inc.|Local Media Group, Inc.
Local TV LLC|Local TV
East Grinstead Courier|Istvan Szammer
Localgiving.com|Marcelle Speller
Localiza|Localiza Rent A Car SA
The Loughead Aircraft Manufacturing Company|Lockheed Corp.
NYSE:LMT|Lockheed martin
Sytex|The Sytex Group
Lockton Companies|Lockton Insurance
Locomotive Games|Pacific Coast Power and Light
Lock tight|Loctite
Gregory I. Thiel|Locus Computing Corporation
Neno Duplan|Locus Technologies
Locust seven|BWE
Loden Dager|Loden dager
Lodge Manufacturing Company|Lodge company
Lodge Cottrell|Lodge Cottrell Ltd
Dan Abelow|Lodsys
LOEB'S|LOEB'S INC.
Loeb, Rhoades, Hornblower & Co.|Loeb, Rhoades, Hornblower & Company
Loehmann's|Loehmann
David Loewe|Loewe AG
Loews Inc.|Loews Cineplex
Loews Corp|Loews Corporation
Loglogic|FireVue
LogMeIn PC|LogMeInPC
LogRhythm|Logrhythm
The Logan Construction Company|Logan Construction Company
Logentries|The Logentries
LogiSense Corporation|LogiSense
Logibec Groupe Informatique Ltd.|Logibec Groupe Informatique
LogicaCMG|LogicaCMG plc
Loginradius|LoginRadius
LogiTech|Logitech MOMO Force steering wheel
British Broadcasting Corporation|Logo of the BBC
Logos Group|Gruppo Logos
Logoworks|LogoWorks
LML|Lohia Machinery
Lohner-Werke|Bombardier Wien Schienenfahrzeuge
Lok'nStore|Loknstore
Lokalbanen|S
Loki Software|Loki Software Inc.
Lokring|Lokring Technology
Aylings|Lola Aylings
Lola Cars International Ltd.|Lola cars
Lombard Direct|Lombard
Lombardia Capital Partners|Lombard capital
ADM Londis|Londis Plus
LondonMetric Property plc|LondonMetric Property
London & Overseas Freighters|Welsh Ore Carriers
London brick|London Brick Company
London bridge studio|London Bridge Studio
London Virginia Company|Virginia Company of London
County of London Electricity Supply Company|London Electricity Board
London Fields Craft Products Ltd|Julian de Vere Whiteway-Wilkinson
LIYSF|London International Youth Science Forum
The London Life Insurance Company|London Life Insurance
Lambeth Savings & Credit Union|Camberwell Credit Union
London Overground Rail Operations Limited|LOROL
London Stock Exchange Group|CC&G
London and Continental Railways Limited|London and Continental Railways
Lough Swilly Bus|Derry and Lough Swilly Railway
Lone Star Brewing Company|Lone Star Beer
Lone star comics|Lone Star Comics
Lone Star Funds|LStar Capital
Lone Star Music.|Lone Star Music
Texas Land and Cattle|Lone Star Steakhouse & Saloon
Lonely Planet Travel Guides|Lonely Planet Guide
Long Term Capital Management|Long-Term Capital
LTCB|Long-Term Credit Bank of Japan
LongHorn Steakhouse|Longhorn Steakhouse
Long & Foster|Longandfoster.com
LILCO|Long Island Lighting Company
Long Island Power Authority|PSEG Long Island
Long John Silvers|LJS Partners
Long Trail Brewery|Long Trail Brewing Company
Jean Cassegrain|Philippe Cassegrain
Longines|Elegance is an attitude
Longo Brothers Fruit Markets Inc.|Longo's
Long's|Long's Drug Stores
Longyuan Power|Longyuan Electric Power Group
Lonking Holdings|China Infrastructure Machinery Holdings Limited
Lonmin plc|Lonmin
Lonrho Plc|Lonrho
Lonsdale|Lonsdale London
LONZA AG|Lonza Group
LookSmart|Looksmart
Look Cycles International|Look Cycle International
Look Communications Inc.|Look Communications
Look Again|Lookagain
Looker Data Sciences|Looker
Lerner Research|Looking Glass Studios
Lookout|Lookout Mobile
Loomis AB|Loomis Fargo & Company
Loompanics Press|Loompanics
Looney Labs|Fully Baked Ideas
LoopNet.com|LoopNet, Inc.
Loop Mobile|Loop Mobile India
Loot Interactive|Loot Entertainment
Benpres Holdings|Lopez Group of Companies
Loral Corp.|Loral Corporation
Loral Inc|Loral Space & Communications
Lord and Burnham|Lord & Burnham
Lord and Taylor|Lord & Taylor
Lord Abbett & Co|Lord, Abbett & Co. LLC
Lord Corp.|Hugh C. Lord
Todd Spencer Manning, Jr.|Lord family
Loremo|Loremo LS
Virtual Studio|Loricels
Lorillard Inc|Old Gold Cigarettes
Lorimar-Telepictures|Lorimar Telepictures
Lorimar|Lorimar Home Video
LA Pop Art|Los Angeles Pop Art
Los Chinos de Ponce|King's Cream
Bells, Lightfoot|Walker alkali works
Lost Coast Brewery|Alleycat Amber
Lothian Co-op|Lothian, Borders & Angus Co-operative Society
Loto-Quebec|Loto Quebec
LOTOS Kolej|Lotos Kolej
Lotte Group|Lotte Co., Ltd.
Chilsung|Lotte Chilsung
Crunky|Lotte Confectionery
Lotte Department Store|GS Department Store
Lotte Hotel Ulsan|Lotte Hotel World
Chum-Churum|Lotte Liquor
Natuur|Lotteria
Lotto Sport Italia|Lotto Shoes
Lotus 58|Limo-Green
Forbidden rice|Lotus Foods
DialAFlight|Lotus Group
Lotus Development Corporation|IBM Lotus
Lou Malnati's Pizzeria|Lou Malnati
Louis Delhaize|Louis Delhaize Group
Louis-Dreyfus Group|Louis Dreyfus Energy Services LP
Linemar Toys|Marx Toys
Louis Vuitton|Vuitton
Louise Blouin Media|Blouin News
Louisiana Pacific|Louisiana Pacific Corporation
Lovability Condoms|Lovability Incorporated
Love's travel stops and country stores|Love's country stores
LOVEFiLM Instant|Lovefilm
Loveman's of Alabama|Loveman, Joseph & Loeb
Loving Hut|Loving hut
Lowes Home Improvement Store|Lowe's Cos. Incorporated
Lowe, Lintas & Partners|LinOpinion
Lowe Roche|Lowe roche
LowerMyBills|LowerMyBills.com
Lowes foods|Lowes Foods
Lowes Menswear|Lowes-Manhattan
Lowrance|Lowrance Electronics
Lowry Digital Images|DTS Digital
Bryan A. Pearson|LoyaltyOne
Lozier Motor Company|Lozier
Lutskiy Avtomobilnyy Zavod|Lutsk Avtomobile Factory
Lubrizol Corporation|Lubrizol
Luby's|Luby's Cafeterias, Inc.
Lucara Diamond Corp.|Lucara Diamond Corp
LucasArts Entertainment Company LLC|LucasArts
Lucas brothers, builders|Lucas Brothers, Builders
Lucas Industries plc|Lucas Industries
Lucas Oil Products, Inc.|Lucas Oil
Lucasfilms|LucasFilm, Ltd.
Lucasfilm Animation|Lucasfilm Animation Singapore
Lucent Technologies|Lucent Technologies Inc.
Minsk Watch Plant|Minsk Watch Plant \
LucidGames|Lucid Games
Lucid, Inc.|Lucid, Incorporated
LucidWorks|Lucid Imagination
Lucille's BBQ|Lucille's Smokehouse Bar-B-Que
Lucks, Inc|Luck's Inc
Luckett and Farley|Luckett & Farley
LMRC|Lucknow Metro Rail Corporation
Bengal and North Western Railway|Lucknow-Sitapur-Seramow Provincial State Railway
Lucky Brand Jeans|Lucky Jeans
Lucky Stores of Dublin|Lucky's
Ludlow Typograph|Ludlow Typograph Co.
Jost Mediaval|Dominante
Musser Mallet Company|Ludwig Drums
Lufa Farms|Lufa farms
Lufkin Trailers|Lufkin Industries
Lufthansa Systems|Lufthansa Systems AG
Luhanskteplovoz|Luganskteplovoz
Luisa via roma|Luisa Via Roma
WLOW-LP|WPYM-LD
Lukfook|Lukfook Group Holdings
Lukoil Oil Company|Kwik Farms
Lukoil Serbia|Lukoil-Beopetrol
Lulu.com|Lulu Press
Lulu Hypermarket|LuLu Hypermarket
Lululemon Athletica Inc.|Lululemon
Luma pictures|Luma Pictures
Lumber Liquidators|Lumber Liquidators, Inc.
Lumension Security, Inc.|Lumension
Inkodye|Lumi
Lumison|EdNET
Lumiton|Lumiton Studios
South Australia Electricity|Lumo Energy
Luna Innovations|Luna Technologies
Lunarg|Lunar G
LundXY Global Ventures|LundXY
S|H. Lundbeck A/S
Lundgren guitar pickups|Lundgren Guitar Pickups
Lukas H. Lundin|Lundin Mining Corp.
Lundin Oil|Lundin Petroleum AB
Lund Food Holdings, Inc.|Lunds Market
Lunn Polly|Lunn Poly
Luoyang Glass Company Limited|Luoyang Glass Company
Lupin limited|Lupin Limited
LuraTech Imaging GmbH|Luratech
Lush|LUSH
Lutheran Health Network|Lutheran Health
Lutris|Lutris Technologies
Luvo inc|Luvo Inc.
Heilerde-Gesellschaft Luvos Just GmbH & Co. KG|Luvos
LuxDev|Lux-Dev
LuxConnect|Luxconnect
Lux Industries|Lux industries limited
Luxco, Inc.|David Sherman Company
Luxempart-Energie|Luxempart S.A.
Luxman Corporation|Lux corporation
Luxoflux|Isopod Labs
Luxoft|Luxoft Holding, Inc.
Luxottica Group S.p.A.|Luxottica Group
Luxury Resorts|WHM, LLC
Luzhou Laojiao Company Limited|Luzhou Laojiao Company
Lvivskyi Avtobusnyi Zavod|Lvovsky Avto Zavod
LycaMobile|Lycamobile
Textron Lycoming|Lycoming engine
Lynas Corporation Ltd|Lynas Corporation
lynda.com|Lynda.com, Inc.
LynuxWorks|Lynx Software Technologies, Inc
Lyon and Healy|Lyon & Healy
LyondellBasell Industries N.V.|LyondellBasell
Lyoness|Lyconet
The Lyons Group|Lyrick Studios
LYRtech inc.|Lyrtech
Lytro camera|Lytro
DriveCam|DriveCam, The Driver Science Company
Lyulka|Lyul'ka
SARL Leger Aviation|Leger Aviation
Luerssen Yachts|Lurssen Yachts
M&C Comics|M&c Comics
M & Co|M&Co.
M & F Worldwide Corporation|Checks in the Mail
M&G Investment Management|M&G Investments
M&M Meat Shops|M&M Meat Shops Ltd
M&T Bank Corp.|Manufacturers and Traders Trust Company
M-1 Global|M-1 Mixfight
M Audio|Midiman
M-Brain|M-Brain Group
M-Sport Racing|M-Sport
DiskOnChip Plus|DiskOnChip H3
M - Zet Productions|M-Zet TV Production Inc.
M. dia|M.DIA
M.H. Alshaya Co.|Alshaya
M.Net Corporation Limited|m.Net Corporation Limited
MA Hanna Company|M A Hanna Company
M. A. Kharafi & Sons|M.A. Kharafi & Sons
M.D. Moody and Sons, Inc.|M D Moody and Sons, Inc.
DuMont Schauberg|M DuMont Schauberg
M. M. Ispahani Limited|MM Ispahani
M.M.Warburg & CO  KGaA|M.M. Warburg & CO
M.W. Kellogg Limited|M. W. Kellogg Limited
Communications Venture Partners|C Venture Partners
I Homes|M/I Homes
M1 Connect|MobileOne
M2SYS Technology|M2SYS
Dodo.com|M2 Group
M3D LLC|M3D, LLC
M3 technology|M3 Technology
M6 Group|Groupe M6
M86 Security|Marshal Limited
MAACO Franchising, Inc.|Maaco Auto Painting & Bodyworks
MAB Paint|MAB Paints
Macosa|MACOSA
Mactec|MACTEC
M*A*C|MAC cosmetics
MAHLE Powertrain|MAHLE Powertrain Ltd
MAIDS report|MAIDS Report
MAIET|MAIET Entertainment
Make Architects|MAKE architects
MAMA Group|Mama Group
SP Manweb plc|MANWEB
MAN B&W Diesel|MAN B&W
MAN Diesel & Turbo|MAN Diesel & Turbo SE
M.A.N.|Renk AG
MAN Truck & Bus AG|MAN 18.240
MAN Turbo AG|MAN Turbo
MAPNA Group|Mapna generator
Marg Swarnabhoomi|MARG Constructions Ltd.
Mexicana de Autobuses SA|Mexicana de Autobuses
MVS Multivision|MVS Television
MATIS|MATIS group
MAT Industries LLC|DeVilbiss Air Power Company
MBCA Bank Limited|MBCA Bank
MBC Drama|MBC Plus Media
MBDA|MBDA European Missile
MBDA Deutschland GmbH|Bayern-Chemie
National Public Finance Guarantee|MBIA Inc
MBK Scooters|MBK Company
Maroo Entertainment|Core Contents Media
MB Holding|Petrogas E&P
Mc2 france|Wanadoo Editions
MCA Publishing|MCA Inc.
Muslim Commercial Bank|Muslim Commercial Bank Limited
MCB Madagascar|MCB Madagascar SA
MCD PRODUCTIONS|MCD Productions
MCI Capital|MCI Management SA
Microwave Communications Incorporated|MCI Inc
WorldCom|MCI Inc.
MCM - A Premier Farnell Company|MCM Electronics
Groupe MCM|MCM Group
MCM Worldwide|MCM
Marlboro Classics|MCS
MCV Bus and Coach|MCV
MCX Stock Exchange|Metropolitan Stock Exchange of India Ltd.
Mc sports|Mc Sports
Alliance Spacesystems|MD Robotics
MDC Partners Inc.|Miles Nadal
MDLiveCare|MDLIVE
Mdm bank|MDM Bank
List of MDPI journals|MDPI Publishing
MDS America Inc.|MDSA
MDU Resources|Intermountain Gas Company
MD Helicopters|MD Helicopter
Mecc|MECC
MECON Limited|Mecon Limited
MEC|Mediaedge:cia
Meditech|MEDITECH
Middle East Economic Digest|MEED
MEG Energy Corp.|MEG Energy
MELA Sciences|MELA Sciences, Inc.
MENCK GmbH|MENCK GbmH
MERA NN|MERA
MERMEC S.p.A.|MER MEC
MESA Imaging AG|MESA Imaging
Jordan New Cable|Middle East Specialized Cables Company
Members Equity Bank|Members Equity Bank Limited
Me productions|ME Productions
MFA Incorporated|Missouri Farmers Association
MFA Oil|Mfa oil
MFI Furniture Group|MFI plc
MFS Investments|MFS Investment
MF Global Holdings Ltd|MF Global Equity
Yummi-Land|Yummi-land
MGE Energy, Inc.|MGE Energy
Sib Tower 12|Visual Arts
Metropolitan Groove Merchants|MGM Distribution
MGM Energy|MGM Energy Corp.
MGM Holdings, Inc.|MGM Holdings
MGM-UA Home Video|UA Home Video
Casino|MGM Grand, Inc.
MGM Television|UA Television
MG Sports Car|The MG Car Company Limited
MG Icon|MG Motor UK
MG-Rover|MG Rover
MIB Group|MIB Group, Inc.
